05-12-2022 00:28:15.286 | 1080 | [main] | INFO  | c.o.OrderManagerApplicationTests - Starting OrderManagerApplicationTests using Java 17.0.4.1 with PID 30912 (started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 00:28:15.289 | 1083 | [main] | INFO  | c.o.OrderManagerApplicationTests - No active profile set, falling back to 1 default profile: "default"
05-12-2022 00:28:19.685 | 5479 | [main] | INFO  | c.o.OrderManagerApplicationTests - Started OrderManagerApplicationTests in 4.727 seconds (process running for 6.332)
05-12-2022 00:52:19.095 | 1153 | [main] | INFO  | c.o.OrderManagerApplicationTests - Starting OrderManagerApplicationTests using Java 17.0.4.1 with PID 2814 (started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 00:52:19.098 | 1156 | [main] | INFO  | c.o.OrderManagerApplicationTests - No active profile set, falling back to 1 default profile: "default"
05-12-2022 00:55:47.569 | 956  | [main] | INFO  | c.o.OrderManagerApplicationTests - Starting OrderManagerApplicationTests using Java 17.0.4.1 with PID 3449 (started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 00:55:47.571 | 958  | [main] | INFO  | c.o.OrderManagerApplicationTests - No active profile set, falling back to 1 default profile: "default"
05-12-2022 00:57:47.461 | 709  | [restartedMain] | INFO  | com.order.OrderManagerApplication - Starting OrderManagerApplication using Java 17.0.4.1 with PID 3699 (/home/luisnovaes/Área de Trabalho/springtoo/order-manager/target/classes started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 00:57:47.463 | 711  | [restartedMain] | INFO  | com.order.OrderManagerApplication - No active profile set, falling back to 1 default profile: "default"
05-12-2022 00:58:21.728 | 898  | [restartedMain] | INFO  | com.order.OrderManagerApplication - Starting OrderManagerApplication using Java 17.0.4.1 with PID 3759 (/home/luisnovaes/Área de Trabalho/springtoo/order-manager/target/classes started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 00:58:21.734 | 904  | [restartedMain] | INFO  | com.order.OrderManagerApplication - No active profile set, falling back to 1 default profile: "default"
05-12-2022 01:00:09.356 | 839  | [main] | INFO  | c.o.OrderManagerApplicationTests - Starting OrderManagerApplicationTests using Java 17.0.4.1 with PID 3961 (started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 01:00:09.358 | 841  | [main] | INFO  | c.o.OrderManagerApplicationTests - No active profile set, falling back to 1 default profile: "default"
05-12-2022 01:00:42.766 | 674  | [restartedMain] | INFO  | com.order.OrderManagerApplication - Starting OrderManagerApplication using Java 17.0.4.1 with PID 4061 (/home/luisnovaes/Área de Trabalho/springtoo/order-manager/target/classes started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 01:00:42.768 | 676  | [restartedMain] | INFO  | com.order.OrderManagerApplication - No active profile set, falling back to 1 default profile: "default"
05-12-2022 01:02:53.708 | 895  | [restartedMain] | INFO  | com.order.OrderManagerApplication - Starting OrderManagerApplication using Java 17.0.4.1 with PID 5078 (/home/luisnovaes/Área de Trabalho/springtoo/order-manager/target/classes started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 01:02:53.711 | 898  | [restartedMain] | INFO  | com.order.OrderManagerApplication - No active profile set, falling back to 1 default profile: "default"
05-12-2022 01:02:58.425 | 5612 | [restartedMain] | INFO  | com.order.OrderManagerApplication - Started OrderManagerApplication in 5.161 seconds (process running for 6.249)
05-12-2022 01:02:58.431 | 5618 | [restartedMain] | INFO  | com.order.OrderManagerApplication - *************************************************************
05-12-2022 01:02:58.431 | 5618 | [restartedMain] | INFO  | com.order.OrderManagerApplication - ORDER MANAGER SYSTEM - LUIS MAGNO NOVAES - rel:1.0 - 12/2022
05-12-2022 01:02:58.431 | 5618 | [restartedMain] | INFO  | com.order.OrderManagerApplication - *************************************************************
05-12-2022 01:03:18.087 | 25274 | [http-nio-8080-exec-1] | INFO  | com.order.service.LoggerService - *************************************************************
05-12-2022 01:03:18.088 | 25275 | [http-nio-8080-exec-1] | INFO  | com.order.service.LoggerService -            ORDER MANAGER SYSTEM - CREATE ORDER            
05-12-2022 01:03:18.088 | 25275 | [http-nio-8080-exec-1] | INFO  | com.order.service.LoggerService - *************************************************************
05-12-2022 01:03:18.273 | 25460 | [http-nio-8080-exec-1] | INFO  | com.order.service.LoggerService - ********************* SYSTEM ERROR *************** ***********************************
05-12-2022 01:03:18.273 | 25460 | [http-nio-8080-exec-1] | ERROR | com.order.service.LoggerService - Error detail: Error system servicejava.lang.NullPointerException: Cannot invoke "com.order.model.Item.getId()" because "itemEntity" is null                                                            
05-12-2022 01:03:18.273 | 25460 | [http-nio-8080-exec-1] | INFO  | com.order.service.LoggerService - ***************************************************************************************
05-12-2022 01:03:18.273 | 25460 | [http-nio-8080-exec-1] | INFO  | com.order.service.LoggerService - ********************* SYSTEM ERROR *************** ***********************************
05-12-2022 01:03:18.273 | 25460 | [http-nio-8080-exec-1] | ERROR | com.order.service.LoggerService - Error detail: Error system service buildOrder null!                                                            
05-12-2022 01:03:18.273 | 25460 | [http-nio-8080-exec-1] | INFO  | com.order.service.LoggerService - ***************************************************************************************
05-12-2022 01:03:18.274 | 25461 | [http-nio-8080-exec-1] | INFO  | com.order.service.LoggerService - ********************* SYSTEM ERROR *************** ***********************************
05-12-2022 01:03:18.274 | 25461 | [http-nio-8080-exec-1] | ERROR | com.order.service.LoggerService - Error detail: Erro operation create order : STOCK_MOVEMENT_INSUFFICIENT_ITEM                                                            
05-12-2022 01:03:18.274 | 25461 | [http-nio-8080-exec-1] | INFO  | com.order.service.LoggerService - ***************************************************************************************
05-12-2022 01:05:57.235 | 1102 | [main] | INFO  | c.o.OrderManagerApplicationTests - Starting OrderManagerApplicationTests using Java 17.0.4.1 with PID 5350 (started by luisnovaes in /home/luisnovaes/Área de Trabalho/springtoo/order-manager)
05-12-2022 01:05:57.237 | 1104 | [main] | INFO  | c.o.OrderManagerApplicationTests - No active profile set, falling back to 1 default profile: "default"
